,PTY_PROFILE_SUB_TYPE,SOCIO_ECONOMIC_SEGMENT,PARTY_NATIONALITY,PARTY_GENDER_CD,TARGET,YEAR_JOINED,CURRENT_YEAR,BILL_AMOUNT,PAID_AMOUNT,PAYMENT_TRANSACTIONS,PARTY_REV,PREPAID_LINES,POSTPAID_LINES,OTHER_LINES,LINE_REV,STATUS,MOUS_TO_LOCAL_MOBILES,MOUS_FROM_LOCAL_MOBILES,MOUS_TO_LOCAL_LANDLINES,MOUS_FROM_LOCAL_LANDLINES,MOUS_TO_INT_NUMBER,MOUS_FROM_INT_NUMBER,DATA_IN_BNDL,DATA_OUT_BNDL,DATA_USG_PAYG,COMPLAINTS,Years_stayed
258726,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,244.1164082,262.5,1,2293.485,3,4,1,250,ACTIVE,518.83,1.14,3.73,28.925,0,0,11718.58887,0,0,0,7
258727,Residential,EXPATS,Egypt,M,0,2012,2019,583.7278058,606.7633333,1,1073.483333,0,2,0,591.96,ACTIVE,267.845,29.835,5.675,24.525,373.225,0.02,5514.407227,0,0,0,7
258728,Residential,EXPATS,Romania,M,0,2012,2019,446.0349891,554.8333333,2,2078.461667,2,3,1,449,ACTIVE,0,0,0,0,0,0,6073.608887,0,0,0,7
258729,Residential,EXPATS,Egypt,M,0,2012,2019,209.9959311,227.0116667,1,1332.718333,2,3,1,248.6833333,ACTIVE,829.905,1358.485,12.695,523.28,0.035,0.01,7223.464844,0,0,0,7
258730,Prestige,EXPATS,Lebanon,F,0,2012,2019,5377.809307,3994.01,2,2640.506667,0,1,0,2640.506667,ACTIVE,202.475,71.425,23.055,200.9,110.725,183.11,10557.89795,0,0,0,7
258731,Residential,EXPATS,United Kingdom,M,0,2012,2019,477.6956811,547.905,1,534.0033333,0,1,0,534.0033333,ACTIVE,616.02,402.57,32.635,62.54,35.715,12.725,6653.541992,0,0,0,7
258732,Residential,EXPATS,Philippines,F,0,2012,2019,61.82004757,59.53833333,1,136.07,0,2,0,52.41666667,ACTIVE,2.28,5.95,1.485,3.835,0,0,0,0,0,0,7
258733,Residential,EXPATS,United Kingdom,F,0,2012,2019,579.501066,564.3633333,1,470.555,0,1,0,470.555,ACTIVE,30.875,70.54,7.805,11.64,0,0.01,5420.257324,0,0,0,7
258734,Residential,EXPATS,Egypt,M,0,2012,2019,482.1465383,539.695,5,554.475,0,1,0,554.475,ACTIVE,536.08,708.19,60.16,79.85,141.535,18.275,5918.083496,0,0,1,7
258735,Residential,EXPATS,United Kingdom,F,0,2012,2019,440.8094103,489.5766667,1,867.555,1,1,1,474.2883333,ACTIVE,122,73.26,26.3,34.16,8.36,9.54,6159.716309,0,0,0,7
258736,Prestige,EMIRATI,United Arab Emirates,M,0,2012,2019,471.1107764,519.5,1,2410.75,2,4,1,501.7333333,ACTIVE,882.51,94.69,138.535,76.485,0,0,15912.04248,0,0,0,7
258737,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,412.8287135,466.2116667,1,1153.258333,2,2,1,440.4,ACTIVE,407.485,97.505,19.375,0.275,0,0,14189.01221,0,0,0,7
258738,Prestige,EMIRATI,United Arab Emirates,M,0,2012,2019,441.3416,383.3333333,1,1535.691667,0,3,0,468.3783333,ACTIVE,143.62,13.915,6.975,1.225,0,0.935,433.9692383,0,0,0,7
258739,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,71.44456288,73.78333333,1,1481.41,3,3,1,74,ACTIVE,0,0,0,0,0,0,0,0,0,0,7
258740,Prestige,EMIRATI,United Arab Emirates,M,0,2012,2019,492.5951507,475.1666667,3,5389.853333,24,3,1,445.5566667,ACTIVE,374.08,446.295,51.825,4.18,0,0,7580.289063,0,0,0,7
258741,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,173.4096842,204.85,2,901.85,3,2,4,190.6383333,ACTIVE,389.09,136.8,76.425,176.695,0,0.01,2268.70752,0,0,0,7
258742,Prestige,EXPATS,India,F,0,2012,2019,2905.185468,3523.203333,1,4178.558333,0,4,2,3537.891667,ACTIVE,302.26,19.515,0.265,11.67,95.215,0.315,9336.821289,0,0,0,7
